day,day_type,marketing_spend,units_sold,revenue
1,Weekday,1593.12,523,10816.78
2,Weekend,989.98,336,6815.07
3,Weekday,1745.48,497,9849.12
4,Weekday,1455.26,389,8478.3
5,Weekday,369.52,242,4884.62
6,Weekday,1956.12,631,11697.48
7,Weekday,1570.05,501,9368.84
8,Weekday,1614.92,384,9117.08
9,Weekday,430.6,182,4270.77
10,Weekday,1010.69,339,7534.18
11,Weekend,867.44,357,7002.46
12,Weekday,1868.18,461,10985.43
13,Weekday,1358.96,360,8172.43
14,Weekday,1680.97,450,10031.27
15,Weekday,998.15,346,7162.43
16,Weekday,609.03,287,5628.24
17,Weekday,1198.25,454,8435.68
18,Weekend,314.87,189,4425.12
19,Weekday,1689.74,498,10335.28
20,Weekday,1337.0,444,8522.25
21,Weekend,1564.56,483,9588.17
22,Weekday,838.15,317,6815.19
23,Weekday,1947.26,530,10109.47
24,Weekday,1807.62,442,10219.44
25,Weekend,1601.09,412,9282.25
26,Weekday,550.35,218,4873.11
27,Weekday,1040.1,345,7099.32
28,Weekday,278.85,232,5040.25
29,Weekday,477.72,206,4439.15
30,Weekday,1429.49,431,9441.88
