student_id,prep_hours,practice_tests_taken,used_tutor,exam_score
1,1.7,5,Yes,68.9
2,8.3,4,No,81.6
3,0.8,0,Yes,66.8
4,9.9,4,No,74.3
5,6.6,0,Yes,83.2
6,2.9,4,No,66.1
7,2.1,4,No,71.2
8,11.8,0,No,81.5
9,3.4,2,Yes,63.1
10,18.5,0,No,84.9
11,11.6,3,Yes,95.9
12,6.9,5,Yes,87.5
13,11.8,0,No,79.3
14,0.5,2,Yes,62.7
15,19.2,5,No,100.0
16,9.6,1,No,69.6
17,15.7,0,Yes,88.5
18,1.7,2,No,65.1
19,9.7,3,Yes,80.1
20,9.8,3,No,76.6
21,18.8,1,Yes,98.7
22,11.4,5,No,81.7
23,9.5,3,Yes,90.5
24,5.3,1,Yes,74.6
25,6.6,5,No,74.4
26,10.4,5,No,65.5
27,8.8,2,No,74.4
28,0.4,0,No,53.7
29,16.5,3,No,82.0
30,17.9,3,No,86.7
