filer_id,filing_year,income_bracket_midpoint,itemized_deductions,charitable_contributions
1,2024,55000,4543.34,965.7
2,2024,125000,8593.96,1896.26
3,2024,165000,13526.4,2475.03
4,2024,35000,957.85,236.38
5,2024,165000,14614.34,2601.6
6,2024,35000,500.0,486.09
7,2025,165000,11182.39,3312.27
8,2024,75000,12073.12,1754.34
9,2024,35000,500.0,679.34
10,2024,220000,17058.04,2994.78
11,2025,55000,9542.28,380.04
12,2024,125000,18512.67,2351.46
13,2025,55000,2021.08,930.1
14,2024,220000,18879.38,3492.06
15,2024,165000,15703.89,1777.17
16,2024,165000,19171.74,2845.98
17,2024,95000,6082.86,1606.77
18,2025,95000,7936.81,980.83
19,2024,125000,13193.34,1686.39
20,2024,165000,15936.92,2580.49
21,2025,165000,13909.61,2495.99
22,2025,35000,2815.44,408.13
23,2025,125000,7812.76,1833.6
24,2025,35000,2554.57,424.21
25,2025,75000,6084.03,1186.03
26,2024,165000,15430.42,3063.6
27,2025,55000,3561.68,0.0
28,2024,165000,16028.85,2380.26
29,2024,95000,11081.79,1495.6
30,2025,55000,5338.57,943.4
